SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_5-16_spots.csv,60,16,YFP,PR,,3.75
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_57-67_spots.csv,52,16,YFP,PR,,3.25
210202_prhugp_964_6dMPA_3Ddrift_CFP_11-26_spots.csv,17,17,CFP,PR,,1.0
210202_prhugp_964_6dMPA_3Ddrift_CFP_27-33_spots.csv,101,19,CFP,PR,,5.315789473684211
210202_prhugp_964_6dMPA_3Ddrift_CFP_34-57_spots.csv,140,18,CFP,PR,,7.777777777777778
210202_prhugp_964_6dMPA_3Ddrift_RFP_13-29_spots.csv,185,19,RFP,PR,,9.736842105263158
210202_prhugp_964_6dMPA_3Ddrift_RFP_30-42_spots.csv,273,19,RFP,PR,,14.368421052631579
210202_prhugp_964_6dMPA_3Ddrift_RFP_43-62_spots.csv,103,19,RFP,PR,,5.421052631578948
210202_prhugp_964_6dMPA_3Ddrift_YFP_13-26_spots.csv,147,19,YFP,PR,,7.7368421052631575
210202_prhugp_964_6dMPA_3Ddrift_YFP_27-33_spots.csv,145,19,YFP,PR,,7.631578947368421
210202_prhugp_964_6dMPA_3Ddrift_YFP_34-59_spots.csv,210,18,YFP,PR,,11.666666666666666
210208_prhugo_978_MPAveh_3Ddrift_CFP_12-24_spots.csv,208,14,CFP,PR,,14.857142857142858
210208_prhugo_978_MPAveh_3Ddrift_CFP_25-53_spots.csv,68,14,CFP,PR,,4.857142857142857
